,Hearbeat ID,Ground Truth,Predicted Category,Comparison Result
0,80543,3,2,0
1,80544,3,2,0
2,80575,3,3,1
3,80588,3,3,1
4,80606,3,3,1
5,80615,3,3,1
6,80645,3,3,1
7,80667,3,3,1
8,80681,3,2,0
9,80692,3,3,1
10,80707,3,3,1
11,80714,3,2,0
12,80721,3,2,0
13,80787,3,3,1
14,80812,3,2,0
15,80818,3,3,1
16,80869,3,3,1
17,80885,3,3,1
18,80896,3,2,0
19,80953,3,2,0
20,81047,3,3,1
21,81063,3,3,1
22,81070,3,3,1
23,81088,3,3,1
24,81099,3,3,1
25,107679,3,3,1
26,107697,3,3,1
27,107741,3,2,0
28,107751,3,3,1
29,107762,3,3,1
30,107776,3,3,1
